ticker,S3a,S3b,S3c,S3d,S3_total,lm_positive_ratio,lm_negative_ratio,commitment_ratio,uncertainty_density,litigious_density,stakeholder_specificity,accountability_ratio,temporal_commitment,adversity_resilience,s3c_slope,s3c_years,p1_flag,base_score,S1,S1_rationale,S2,S2_rationale,S4,S4_rationale,S5,S5_rationale,confidence,llm_P1,llm_P1_reason,llm_P2,llm_P2_reason,llm_P4,llm_P4_reason,llm_P8,llm_P8_reason,llm_B1,llm_B1_reason,llm_B2,llm_B2_reason,llm_B3,llm_B3_reason,llm_B4,llm_B4_reason,P1_auto,P5,llm_penalties_total,llm_bonuses_total,adjusted_score,purpose_score
CPAY,0.7,1.0,0.9,0.5,1.6,0.0108,0.0045,0.5759,0.0067,0.0027,0.1292,0.6568,0.4934,0.0103,0.000766,9,0,6.1,1.5,"Filings reference a 'common vision, mission and set of values' and a tagline 'a better way to pay,' but no differentiated mission statement naming specifically who is served and how — language centers on internal culture/values rather than an articulated external purpose.",1.5,"Values/culture sections are absent from 2017-2020 10-Ks and only emerge consistently from 2021 onward, indicating reactive adoption rather than foundational embedding, though wording is stable across 2021-2025.",0.5,"Compensation passages show only financial metrics (Adjusted EPS, revenue, stock price, sales) tied to incentives; one 2020 instance referenced an ESG Management Rating (Sustainalytics) for Mr. Freund but this was not sustained, and no binding non-financial purpose metric or stakeholder-mandated committee charter is evident.",1.0,"Filings name shareholders, customers, employees/associates, and communities with workforce diversity percentages (e.g., 50% female, 32% minority) but commitments toward customers/communities remain aspirational ('good partners,' 'good employer') without measurable targets.",,0.0,"Mission and values statements remain substantially identical across 2021–2025, with only minor wording variations (e.g., 'get it done quickly' to 'get it done; outputs matter') that constitute natural refinement, not material rewriting.",0.0,P1 not triggered; P2 cannot trigger independently.,0.0,"No passages document material adverse actions (mass layoffs, environmental violations, or community harm) against stated beneficiary groups; diversity metrics show female representation declined from 53% (2021–2022) to 50% (2024), but no evidence of deliberate harm or contradictory documented actions.",0.0,"Purpose and values language (innovation, execution, integrity, people, collaboration) appears throughout the filing in culture, talent development, and governance sections, not confined to a dedicated ESG section.",0.5,"Mission and values language ('One FLEETCOR'/'One Corpay,' five core values) remain unchanged across multiple filing periods from 2021–2025, demonstrating institutional continuity independent of individual leadership tenure.",0.0,No passages document financial distress or operational adversity requiring costly decisions; no evidence of maintained employee programs or community investment during revenue decline or restructuring.,0.0,"Governance passages describe board committees, shareholder meeting rights, and compensation reviews, but no formally binding non-advisory mechanism grants non-shareholder stakeholders decision-influencing power (e.g., no employee board seats, binding profit-sharing, or community veto rights).",0.0,Adversity passages address cybersecurity risks and governance procedures with no explicit invocation of purpose or values language as an anchor during those periods of challenge.,0.0,-0.5,0.0,0.5,6.1,0.4357
CPF,0.7,1.0,0.5,0.5,1.2,0.0075,0.0094,0.5068,0.009,0.0081,0.1136,0.5598,0.5194,0.0372,0.000181,9,0,4.95,1.0,"10-K passages provided contain only table-of-contents and boilerplate forward-looking statement language with no explicit mission statement; MD&A mentions 'strive to provide exceptional customer service' which is generic, and DEF 14A letters are administrative cover letters without operational mission language.",1.0,"No mission/purpose sections appear in any year (2017-2025) per the coverage analysis; ESG/community language emerges in DEF 14A from 2018 onward but no consistent purpose statement exists across filings, and early filings show only generic 'exceptional customer service' framing.",0.5,"Compensation is tied to financial metrics (Net Income, Efficiency Ratio, ROA, TSR) with only a small 'customer experience goal' multiplier mentioned in 2016-2019 AIP and Business Plan/Personal Goals qualitative achievements; no binding non-financial purpose metric is explicitly weighted in the incentive formula, and Board Risk Committee oversees ESG but without binding stakeholder mandate.",1.25,"DEF 14A names specific groups (employees, customers, Hawaii communities, small businesses) with some measurable disclosures (volunteer hours ~5,200-9,500, $1.6-1.8M charitable giving, 91% ethnically diverse workforce, 53-57% female managers, $76M community development loans), but commitments are largely descriptive/aspirational rather than forward-looking targets, and 10-K is largely silent on stakeholders beyond customers.",,0.0,No mission/purpose statement passages provided in dataset; only table of contents and boilerplate governance text across years 2022-2024 show no substantive mission language to assess for rewriting.,0.0,P1 not triggered; P2 cannot trigger independently.,0.0,"No explicit purpose/mission statement beneficiaries identified in passages, and no documented material adverse actions against any stakeholder group within the same filing periods.",0.0,"No dedicated ESG/sustainability sections provided; passages are from MD&A and governance sections, making clustering assessment impossible.",0.0,"No mission/purpose language evident across leadership periods to demonstrate institutional continuity; governance passages show leadership changes (Dean, Ngo, Yonamine) but no purpose language to track.",0.0,"No purpose commitments documented in passages; adversity references (COVID-19, capital rules, interest rate pressure) lack any explicit company response citing purpose or documented costly decisions to maintain stakeholder commitments.",0.0,"Governance passages describe independent board committees and director independence standards but contain no formally binding stakeholder accountability mechanisms beyond shareholder-focused governance (no profit-sharing, employee board representation, or community veto rights).",0.0,"Adversity passages (COVID-19, regulatory capital pressure, interest rate risk) do not invoke mission, purpose, or values language as an anchor; adversity is discussed purely in operational and regulatory terms.",0.0,-0.5,0.0,0.0,4.45,0.3179
CPHI,0.7,1.0,0.5,0.5,1.2,0.0081,0.0101,0.5253,0.0167,0.0092,0.0673,0.5192,0.516,0.0,-0.000187,10,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.2,0.0857
CPK,0.35,1.0,0.5,0.5,0.85,0.0085,0.0037,0.4862,0.0074,0.0051,0.2807,0.592,0.5769,0.016,-0.000265,9,0,4.85,1.0,"10-K passages contain no explicit mission statement, only describing CPK as a 'trusted energy delivery company' in DEF 14A ESG sections; capital structure language references benefiting 'customers, creditors, employees and stockholders' generically without a differentiated mission.",1.5,"Identical boilerplate capital structure stakeholder language ('benefit our customers, creditors, employees and stockholders') appears consistently from 2017-2024, but no genuine mission/purpose section exists in any year per the coverage analysis, indicating stable but shallow framing rather than deepening purpose.",0.5,"DEF 14A compensation passages reference 'financial and non-financial targets' with 20% non-financial weighting and brand values (Safety, Team, Service, Improvement, Growth), but no specific non-financial purpose metric (e.g., safety rate, employee engagement %) is named in the bonus formula; FCG acquisition is justified by growth/scale, not stated purpose.",1.0,"DEF 14A names specific groups (employees, customers, investors, communities) with examples (SHARING Program, Food Bank volunteering, CNG fueling station) but commitments remain largely aspirational/anecdotal rather than measurable, and 10-K stakeholder references are limited to the boilerplate capital structure list.",,0.0,No year-labeled mission or purpose statements are present in the provided passages; only boilerplate MD&A and capital structure language repeats across years without evidence of substantial mission rewrite.,0.0,P1 not triggered; cannot assess mission rewrite during financial distress.,0.0,"No explicit purpose statement beneficiaries are identified in the passages, and no documented material adverse actions against stakeholder groups (layoffs, environmental violations, community harm) are mentioned.",0.0,"Purpose and values language (equity, diversity, inclusion, sustainability, stakeholder benefit) appears throughout governance and risk management sections of the main filings, not confined to dedicated ESG sections alone.",0.0,No explicit mission or purpose statement is present across the filing window to demonstrate institutional continuity across leadership changes.,0.0,"No passages document costly purpose-aligned decisions (employee retention, community investment) sustained or strengthened during the visible financial or operational stress periods.",0.0,Governance passages describe Board committees and risk oversight but contain no binding non-advisory mechanisms granting non-shareholder stakeholders formal decision-making power or veto rights.,0.0,"Adversity passages (COVID-19, regulatory delays, capital expenditure timing) do not invoke purpose or mission language as an anchor; capital structure commitment language appears in both good and stress periods without explicit adversity framing.",0.0,0.0,0.0,0.0,4.85,0.3464
CPRI,0.7,1.0,0.1,0.5,0.7999999999999999,0.0078,0.0096,0.5807,0.008,0.005,0.1358,0.6119,0.4959,0.0136,-0.000881,10,1,6.05,1.8,"The annual report names a specific mission ('inspire confidence and joy in our employees, customers and global community') and CSR four-pillar structure, and this language appears in both proxy filings and the 10-K, but the business identity is primarily framed as a 'global fashion luxury group' with financial growth targets, making the purpose framing secondary and partially generic.",1.2,"Early filings (2016, 2017) contain no mission or purpose sections whatsoever, with CSR/purpose language only emerging meaningfully from 2020-2021 onwards via the April 2020 CSR Report launch, and the negative temporal decay slope (-0.0009) combined with the Global Optimization Plan restructuring language in 2025 suggests purpose framing is weakening in recent filings.",0.75,"The Governance, Nominating and Corporate Social Responsibility Committee has a charter-level mandate to oversee CSR strategy and sustainability goals with annual Governance Committee review and approval of sustainability goals, and a Chief Sustainability Officer role is embedded in the C-suite, but no non-financial metric is explicitly named in the executive compensation formula — compensation remains tied to financial metrics (ROIC, free cash flow, revenue) with no binding ESG metric in the incentive structure.",1.5,"Multiple specific stakeholder groups are named — employees (with headcount data and collective bargaining disclosures), supply chain workers (Supply Chain Empowerment program), LGBTQIA+ community ($10M Versace Foundation contribution), hunger-affected communities (30 million meals donated), and women (Jimmy Choo Foundation/Women for Women International) — but commitments remain largely aspirational with only selective quantified outcomes (38% GHG reduction, 90/100 HRC score) rather than systematic measurable targets across all groups.",,0.0,"No year-labeled mission/purpose statements are present in passages; dataset shows 'Years WITH mission/purpose sections: []', and passages contain only risk factors, governance, and operational disclosures—not comparable mission language across years.",0.0,P1 not triggered; P2 cannot trigger independently.,0.0,"No passages identify a stakeholder group as an explicit purpose beneficiary, then document material adverse action against that group; Human Capital Management language states investment in employees, and Global Optimization Plan shows 83 store closures and severance, but no prior stated commitment to employees as core purpose beneficiary is documented in passages.",0.0,"CSR/purpose language (Corporate Social Responsibility pillars, Human Capital Management) appears in Risk Factors and governance sections integrated with business strategy, not isolated in a dedicated ESG section only.",0.0,No explicit mission or purpose statements spanning multiple leadership periods are present in passages to demonstrate institutional continuity.,0.0,"Passages show financial stress (macroeconomic adversity, store closures, restructuring) but no documented evidence that the company maintained or strengthened a stated purpose-driven commitment during that stress—only operational efficiency measures.",0.0,"Governance Committee oversees CSR and Board sets ESG compensation incentives, but these are advisory/discretionary governance structures; no legally binding stakeholder veto rights, binding profit-sharing, or formal non-shareholder board representation mechanisms are documented.",0.0,"Adversity passages (macroeconomic pressure, store closures, tariff risk) do not invoke or anchor on purpose/mission/values language as a response or justification during documented financial difficulty.",0.0,-0.5,0.0,0.0,5.55,0.3964
CPS,0.7,1.0,0.9,0.5,1.6,0.0099,0.0059,0.5546,0.0074,0.0035,0.0876,0.6714,0.6141,0.0128,0.000484,9,0,6.85,1.5,"DEF 14A articulates a stakeholder-oriented purpose ('Creating Sustainable Solutions TOGETHER') naming customers, supply partners, employees, and communities, but the 10-K passages provided contain only financial/risk discussion with no operational mission language.",1.0,"Purpose language ('Creating Sustainable Solutions TOGETHER') appears only in DEF 14A filings from 2020 onward with no evidence in early filings (2017-2018), indicating reactive adoption rather than foundational embedding, and the year coverage analysis shows no mission/purpose sections detected across years.",1.5,"DEF 14A explicitly names non-financial ESG metrics in the annual incentive formula — Safety (TIR), Energy consumption, and Overall talent — each weighted 5% (15% total) of annual incentive funding with threshold/target/maximum performance levels for 2022-2023.",1.25,"Multiple specific groups named (employees, customers, supply partners, communities, shareholders) with some measurable commitments (Total Safety Culture/zero incidents, TIR safety rate of 0.33 per 200,000 hours, 98% green customer scorecards), but most commitments remain aspirational and stakeholder specificity score is low (0.088).",,0.0,"No mission or purpose statements are present in any of the provided passages; without baseline mission language, no rewriting can be detected.",0.0,"P1 was not triggered, therefore P2 cannot be triggered regardless of financial distress indicators.",0.0,"No mission/purpose statements identifying stakeholder beneficiaries are present in the passages, preventing detection of contradictions between stated purpose and documented adverse actions.",0.0,"No purpose or mission language appears in any section of the provided passages, including ESG sections; the issue is absence of purpose language entirely, not segregation into sustainability sections.",0.0,No mission or purpose language appears across the filing window to establish institutional continuity or demonstrate predating of leadership.,0.0,"No documented purpose commitments or costly decisions maintaining stakeholder investments during financial stress (2020–2021 losses, restructuring charges) are evidenced in passages.",0.0,"Governance passages describe executive compensation tied to ESG metrics and director independence structures, but no formally binding, non-advisory stakeholder accountability mechanism (e.g., employee board representation, community veto rights, binding profit-sharing) is documented.",0.0,"Adversity passages (restructuring charges, impairment charges, net losses 2020–2023, supply chain disruptions, inflation) do not cite or invoke any mission, purpose, or values language as an anchor.",0.0,-0.5,0.0,0.0,6.35,0.4536
CPT,0.7,1.0,0.5,0.5,1.2,0.0075,0.006,0.5458,0.0093,0.0032,0.1198,0.5915,0.559,0.0175,1.7e-05,9,0,6.45,2.0,"Camden's purpose 'to improve the lives of our team members, customers and shareholders, one experience at a time' appears in 10-K human capital sections and DEF 14A Human Capital Matters sections, naming three stakeholder groups but using generic uplift language without differentiated strategic specificity.",1.5,"Purpose language is absent from 2017-2020 10-K filings (only TOC/general business descriptions appear) and only emerges in 2021 onward, indicating reactive adoption post-SEC human capital disclosure rule rather than foundational embedding; later filings also drift from 'purpose' to 'goal' wording and the 2025 10-K drops the DEI section.",0.5,"DEF 14A compensation passages explicitly tie executive incentives to financial metrics (FFO, Same Property NOI, Net Debt/EBITDA, development yields) with no non-financial purpose-linked metrics in the bonus formula; Sustainability Committee exists but has no binding compensation mandate.",1.25,"Specific stakeholders named consistently (team members, customers, residents, shareholders, communities) with measurable 2030 sustainability targets (15% GHG/energy/water/waste reductions vs 2020 baseline) and employee survey metrics (95% Great Place to Work), but commitments to residents/customers remain aspirational without measurable targets.",,0.0,"Mission language from 2021–2025 shows consistent core framing ('improve the lives of our team members, customers and shareholders') with only minor wording refinements, not substantive rewriting; NLP slope of 0.0000 does not indicate material erosion.",0.0,P1 not triggered; therefore P2 cannot trigger.,0.0,"No passages document material adverse actions (mass layoffs, environmental violations, community harm) against stated beneficiary groups (employees, residents, communities) despite purpose language committing to their welfare.",0.0,"Purpose and mission language appear integrated throughout human capital and operational sections of 10-K filings (Items 1, 10, 11), not confined to standalone ESG/sustainability sections; evidence shows distribution across main business narrative.",0.5,"Mission language remains unchanged across 2021–2025 filings spanning multiple board compositions and leadership periods, demonstrating institutional rather than leader-specific purpose framing.",0.0,"No passages document financial distress, cost cuts, restructuring, or operational stress during 2021–2025; therefore no evidence of maintained purpose commitments under adversity.",0.0,"Governance passages describe traditional shareholder-focused board committees and mechanisms (audit, compensation, nominating); no binding stakeholder accountability structures (employee representation, profit-sharing formulas, community veto rights) are documented.",0.0,No adversity passages in the dataset show explicit invocation of purpose/mission language during financial difficulty; passages lacking documented stress context.,0.0,-0.5,0.0,0.5,6.45,0.4607
CRD-A,0.35,1.0,0.5,0.5,0.85,0.0063,0.0083,0.4565,0.0095,0.0061,0.1392,0.5701,0.5746,0.0119,-0.000168,9,0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.85,0.0607
CRD-B,0.35,1.0,0.5,0.5,0.85,0.0064,0.0083,0.4552,0.0096,0.0061,0.1367,0.5743,0.5751,0.0115,-0.000147,9,0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.85,0.0607
CRH,0.7,1.0,0.5,0.5,1.2,0.0117,0.0082,0.5631,0.0091,0.0065,0.1337,0.6163,0.6255,0.0254,0.000155,11,0,7.2,2.0,"CRH's mission 'leading provider of building materials that build, connect and improve our world' names the served sectors (infrastructure, non-residential, residential customers) and differentiates via integrated solutions strategy, but the tagline is somewhat generic and the identical language appears in both annual report Item 1 and proxy/governance filings, satisfying cross-filing presence.",1.0,"The dataset shows mission/purpose sections only in 2024 and 2025 filings (Item 1 Business Overview), with no evidence of equivalent purpose language in 2015-2022 filings per the year coverage analysis, and between the two available years there is a minor but notable wording shift from 'end-to-end value-added solutions' to 'differentiated solutions strategy' indicating the framing is still evolving rather than stable.",1.75,"The 2022 PSP explicitly allocates 15% of award to a quantified Sustainability & Diversity scorecard with specific numeric targets (e.g., women in senior management threshold 16%/stretch 19%, inclusion assessment 70-73, waste/biodiversity/water management program embedding rates, revenue from products with enhanced sustainability attributes 47-49%), constituting an explicit binding mechanism linking non-financial metrics to executive compensation vesting outcomes.",1.25,"CRH names specific stakeholder groups including customers (with lifecycle partnership commitments), employees (inclusion assessment scores, women in senior management targets in PSP), and communities/environment (30% absolute carbon reduction by 2030, water/circularity/decarbonization goals via $250M Venturing fund), but commitments to employees and communities remain largely aspirational rather than contractually measurable in the annual report body.",medium,-1.0,"Mission statement materially rewritten between 2024 and 2025: 2024 describes 'end-to-end value-added solutions' and 'solving complex construction challenges,' while 2025 reframes as 'differentiated solutions strategy' emphasizing 'making construction simpler, safer and more sustainable'—a substantial shift in core framing from solutions-based to sustainability-integrated positioning.",0.0,"P1 triggered but no documented financial distress, cost cuts, restructuring, or layoffs appear in the provided passages during the rewrite period; revenues and net income both increased from 2023 to 2024.",0.0,Passages do not identify specific stakeholder groups as stated purpose beneficiaries nor document material adverse actions against any identified beneficiary group within the filing window.,0.0,"Purpose and mission language ('build, connect and improve our world,' 'making construction simpler, safer and more sustainable') appears prominently in Item 1 Business sections, not confined to dedicated ESG/sustainability sections; language is distributed throughout core business narrative.",0.0,"No evidence of mission continuity across leadership periods; passages show a CEO transition (Albert Manifold to Jim Mintern) that coincides with the mission rewrite, making institutional continuity unclear rather than demonstrable.",0.0,"No documented financial or operational stress appears in the passages; company showed revenue and income growth, and no costly purpose-aligned decisions during adversity are evidenced.",0.0,"Governance passages describe standard board committees (Nomination & Corporate Governance, SESR, Audit, Compensation), annual performance reviews, and shareholder recommendation processes, but no binding non-advisory mechanism granting non-shareholder stakeholders formal decision-influence authority.",0.0,Adversity passages focus on risk factors and accounting estimates with no explicit invocation of purpose/mission/values language as an anchor during periods of documented difficulty.,0.0,-0.5,-1.0,0.0,5.7,0.4071
CRI,0.35,1.0,0.5,0.5,0.85,0.0052,0.0059,0.4793,0.0085,0.0029,0.1117,0.5382,0.5226,0.0045,0.000178,9,0,5.85,2.0,"Mission 'serve the needs of all families with young children' and corporate purpose 'inspire the generations raising the future' appear in 10-K body and proxy shareholder letters, naming a specific consumer group but framed generically without differentiated commitments.",1.5,"Mission language is absent from 2017-2018 10-Ks (which used a 'vision to be the leader' framing instead) and only appears consistently from 2019/2020 onward, with the 'corporate purpose' statement added even later in 2023, indicating reactive rather than foundational adoption.",0.5,"Compensation is tied solely to financial metrics (net sales, operating income) with strategic objectives weighted at 20% but no purpose-linked non-financial metric named; ESG oversight exists at committee level but no binding stakeholder mandate or capital allocation tied to purpose metrics.",1.0,"Filings name specific groups (families, employees, wholesale customers, suppliers, landlords) and reference workers' rights, product safety, and supply chain in ESG oversight, but commitments remain aspirational with no measurable targets disclosed.",,0.0,"Mission statement 'serve the needs of all families with young children, with a vision to be the world's favorite brands in young children's apparel and related products' appears identical across 2022, 2023, and 2024 filings with only minor market data updates, demonstrating continuity not substitution.",0.0,P1 not triggered; P2 cannot trigger without P1 being established.,0.0,"No passages document material adverse actions (mass layoffs, environmental violations, community harm) against stated beneficiary groups ('all families with young children') despite references to COVID-19 disruption and operational challenges.",0.0,"Mission and purpose language ('serve the needs of all families,' 'high-quality apparel,' 'great value') appears throughout main Item 1 BUSINESS sections, not sequestered in ESG-only sections; sustainability references (Little Planet brand, sustainable materials) are woven into core business descriptions.",0.5,"Mission statement remains unchanged verbatim across multiple filing years (2022–2024) spanning documented CEO/board activity, indicating institutional purpose rather than personal leadership artifact.",0.0,"Passages reference COVID-19 pandemic disruption (2020–2021) but provide no documented evidence of costly purpose-aligned decisions (e.g., maintained employee programs, community investment) during financial stress; only operational acknowledgment provided.",0.0,"ESG governance structure described (Nominating and Corporate Governance Committee oversight, ESG Council, SVP reporting to CEO) is advisory and consultative in nature; no binding stakeholder accountability mechanism (e.g., employee board representation, legally binding profit-sharing, veto rights) is documented.",0.0,"Mission/purpose language does not appear in adversity passages (Risk Factors, COVID-19 disruption discussions); company discusses challenges but does not explicitly invoke purpose or values as an anchor during documented periods of financial or operational stress.",0.0,-0.5,0.0,0.5,5.85,0.4179
CRK,0.35,1.0,0.5,0.5,0.85,0.0076,0.0075,0.4852,0.0073,0.0038,0.0897,0.5536,0.541,0.0211,-0.000158,9,0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.85,0.0607
CRL,0.7,1.0,0.5,0.5,1.2,0.0072,0.0063,0.5038,0.009,0.0053,0.105,0.6243,0.6162,0.0284,0.00014,9,0,5.2,1.5,"Values (Care, Lead, Own, Collaborate) and culture language appear in both 10-K human capital sections and DEF 14A, with references to 'collective purpose to create healthier lives,' but framing is generic culture/values rather than a differentiated mission naming who is served and how.",1.0,"Values/purpose language is absent from 2017-2021 10-K Item 1 passages provided and only appears from 2022 onward, indicating reactive adoption rather than foundational embedding, with modest wording drift (e.g., 'inclusion' to 'belonging' in 2025).",0.5,"Compensation passages show only financial metrics (non-GAAP EPS, rTSR, revenue, operating income) in bonus/PSU formulas with no non-financial purpose metrics; Corporate Governance Committee has ESG oversight but no binding stakeholder mandate tied to compensation or capital allocation.",1.0,"Specific groups named (employees, clients, communities, patients, suppliers) with some measurable commitments (50% Scope 1&2 GHG reduction by 2030, 15% Scope 3 reduction, SBTi-approved), but stakeholder commitments beyond environmental targets remain largely aspirational and concentrated in DEF 14A rather than consistent across both filings.",,0.0,"Mission language across 2022–2025 shows consistent core framing (Care, Lead, Own, Collaborate values; culture built on trust, inclusion, respect, well-being; objective to enable colleagues to connect with work supporting each other, clients, communities) with only minor refinements (e.g., 'Belonging' added in 2025, 'corporate culture' to 'company culture', 'CRL DNA' to 'Charles River DNA'), not a substantial replacement.",0.0,"P1 not triggered, so P2 cannot trigger; additionally, no passages document financial distress or cost cuts/restructuring coinciding with any mission rewrite in the filing window.",0.0,"Passages name employees and communities as purpose beneficiaries, but no material adverse actions (mass layoffs, documented violations, community harm) are evidenced in the provided adversity passages; voluntary turnover of 11.1% and hiring of 2,200 people in 2024 do not contradict the stated purpose.",0.0,"Purpose/mission language (values, culture, talent management, engagement) appears in what are labeled as core business and strategy sections (Item 1 passages, Talent Management sections integrated into main filings), not confined to a separate ESG or sustainability section.",0.5,"Mission language remains substantively unchanged across 2022, 2023, 2024, and 2025 filings, indicating institutional continuity independent of any single leadership period, and no leadership change is documented within these years to contradict the institutional character.",0.0,"While 2020 COVID-19 passages show the company adjusted performance criteria and aligned leadership with broader employee experience, no passages document a costly decision to maintain or strengthen purpose commitments through documented financial or operational stress (e.g., maintained employee programs despite revenue decline).",0.0,"Passages describe advisory (non-binding) say-on-pay shareholder votes, deferred compensation plans, and disclosure committees, but none establish a legally binding or formally constituted mechanism through which non-shareholder stakeholders (employees, communities) can formally influence corporate decisions.",0.0,"Adversity passages (government funding risk, COVID-19 impacts) do not invoke or cite the company's purpose, mission, or values language as an anchor; purpose language appears only in dedicated talent management and culture sections, not in adversity discussion.",0.0,-0.5,0.0,0.5,5.2,0.3714
CRM,0.7,1.0,0.5,0.5,1.2,0.0097,0.0064,0.5271,0.0087,0.004,0.1828,0.6281,0.5903,0.0359,0.000295,9,0,8.45,2.2,"Mission is reasonably specific—naming customers, technology means, and values (trust, customer success, innovation, equality) consistently across annual report passages—but remains somewhat generic in differentiating from competitors, and governance proxy passages are largely procedural cover letters rather than operational mission language, though ESG sections in later proxies do carry substantive purpose language.",1.8,"Purpose language is present in 2018 and 2019 annual reports with core values articulated, and is largely stable through 2025, but the dataset shows 2017, 2018, and 2021 annual reports lack substantive mission/purpose sections, and the 2025 filing shows a notable reframing of equality and sustainability as 'legal and ethical mandates' grounded in 'applicable laws' rather than intrinsic values, representing a meaningful drift from earlier language.",1.75,"Compensation passages explicitly document that beginning fiscal 2023, 10% of target cash incentive for EVPs and above is tied to quantified ESG measures including specific diversity metrics (Black, Latinx, Indigenous, multiracial U.S. employees and global women representation) and sustainability measures (reduced air travel emissions, Sustainability Exhibit implementation), constituting at least one explicit binding non-financial mechanism in the bonus formula.",1.5,"Multiple specific stakeholder groups are named (stockholders, customers, employees, partners, planet, communities) with some measurable commitments—e.g., 44% U.S. underrepresented workforce target rising to 50% by 2023, over $12 million committed to equal pay, 63% renewable energy in fiscal 2020 toward 100% by fiscal 2022, 52 million trees funded toward 100 million tree commitment—but many commitments remain aspirational in language with disclaimers that 'goals are not guarantees.'",,-1.0,"Mission statement materially rewritten from 2018–2019 (focus on customer connection via technologies) to 2022–2025 (expanded to 'business of business is to make the world a better place' with explicit stakeholder framing including planet and communities), representing substantial reframing of core purpose beyond incremental evolution.",0.0,"P1 triggered but no passages provided document financial distress, cost cuts, restructuring, or layoffs coinciding with the 2022 mission rewrite; COVID-19 pandemic reference in 2020 pre-dates the material rewrite.",0.0,"Passages identify employees and communities as purpose beneficiaries but contain no documented evidence of material adverse actions (mass layoffs, environmental violations, community harm) against these groups within the same filing window; COVID pledge of 'no significant layoffs' contradicts rather than supports P4.",0.0,"Purpose and values language (trust, customer success, equality, sustainability) appears throughout ITEM 1. BUSINESS sections across all years, not confined to dedicated ESG/sustainability sections; it is integrated into core business strategy and platform descriptions.",0.5,"Mission language remains substantively unchanged from 2022 through 2025 ('business of business is to make the world a better place for all stakeholders') across multiple leadership periods, demonstrating institutional embeddedness rather than personal leadership attribution.",0.0,"No passages document costly, maintained operational commitments (employee programs, community investment) during a documented financial or operational stress period; COVID-era protections described are precautionary, not stress-driven maintenance of purpose commitments.",0.0,"Passages describe governance committees (Governance Committee, Audit Committee, Privacy Committee, Cybersecurity Committee) with oversight of ESG and values, and mention executive compensation tied to ESG measures, but no formally binding, non-advisory mechanism granting non-shareholder stakeholders decision-influencing authority or profit-sharing rights.",0.0,"Purpose and mission language does not appear in the adversity passages provided (COVID-19 pandemic, acquisition integration challenges); adversity passages invoke commitments to safety and stakeholders but do not explicitly anchor reasoning in formal mission or values statements.",0.0,0.0,-1.0,0.5,7.949999999999999,0.5679
